"panel","Consumption_Total_mean","Consumption_Total_sd","Consumption_Total_min","Consumption_Total_max","ConsumptionLive_mean","ConsumptionLive_sd","ConsumptionLive_min","ConsumptionLive_max","Consumption_Rec_mean","Consumption_Rec_sd","Consumption_Rec_min","Consumption_Rec_max","ConsumptionPremiumStreaming_mean","ConsumptionPremiumStreaming_sd","ConsumptionPremiumStreaming_min","ConsumptionPremiumStreaming_max","ConsumptionFreeStreaming_mean","ConsumptionFreeStreaming_sd","ConsumptionFreeStreaming_min","ConsumptionFreeStreaming_max","ConsumptionDigital_mean","ConsumptionDigital_sd","ConsumptionDigital_min","ConsumptionDigital_max","ConsumptionPhysical_mean","ConsumptionPhysical_sd","ConsumptionPhysical_min","ConsumptionPhysical_max","ConsumptionRadio_mean","ConsumptionRadio_sd","ConsumptionRadio_min","ConsumptionRadio_max","ConsumptionOnlineRadio_mean","ConsumptionOnlineRadio_sd","ConsumptionOnlineRadio_min","ConsumptionOnlineRadio_max","Spending_Total_mean","Spending_Total_sd","Spending_Total_min","Spending_Total_max","Spending_Live_mean","Spending_Live_sd","Spending_Live_min","Spending_Live_max","Spending_Rec_mean","Spending_Rec_sd","Spending_Rec_min","Spending_Rec_max","Spending_Streaming_mean","Spending_Streaming_sd","Spending_Streaming_min","Spending_Streaming_max","Spending_Physical_mean","Spending_Physical_sd","Spending_Physical_min","Spending_Physical_max","Spending_Digital_mean","Spending_Digital_sd","Spending_Digital_min","Spending_Digital_max","MusicEducation_mean","MusicEducation_sd","MusicEducation_min","MusicEducation_max","MusicAppreciation_mean","MusicAppreciation_sd","MusicAppreciation_min","MusicAppreciation_max","MaritalStat_LivAlone_mean","MaritalStat_LivAlone_sd","MaritalStat_LivAlone_min","MaritalStat_LivAlone_max","MaritalStat_LivAlone_Partner_mean","MaritalStat_LivAlone_Partner_sd","MaritalStat_LivAlone_Partner_min","MaritalStat_LivAlone_Partner_max","MaritalStat_LivTogether_Partner_mean","MaritalStat_LivTogether_Partner_sd","MaritalStat_LivTogether_Partner_min","MaritalStat_LivTogether_Partner_max","PurchaseReason_Atmosphere_mean","PurchaseReason_Atmosphere_sd","PurchaseReason_Atmosphere_min","PurchaseReason_Atmosphere_max","PurchaseReason_Flexibility_mean","PurchaseReason_Flexibility_sd","PurchaseReason_Flexibility_min","PurchaseReason_Flexibility_max","PurchaseReason_Habit_mean","PurchaseReason_Habit_sd","PurchaseReason_Habit_min","PurchaseReason_Habit_max","PurchaseReason_Mobility_mean","PurchaseReason_Mobility_sd","PurchaseReason_Mobility_min","PurchaseReason_Mobility_max","PurchaseReason_Other_mean","PurchaseReason_Other_sd","PurchaseReason_Other_min","PurchaseReason_Other_max","PurchaseReason_SoundQuality_mean","PurchaseReason_SoundQuality_sd","PurchaseReason_SoundQuality_min","PurchaseReason_SoundQuality_max","PurchaseReason_None_mean","PurchaseReason_None_sd","PurchaseReason_None_min","PurchaseReason_None_max","Education_Abitur_mean","Education_Abitur_sd","Education_Abitur_min","Education_Abitur_max","Education_Bachelor_mean","Education_Bachelor_sd","Education_Bachelor_min","Education_Bachelor_max","Education_TechnicalDiploma_mean","Education_TechnicalDiploma_sd","Education_TechnicalDiploma_min","Education_TechnicalDiploma_max","Education_MainSchool_mean","Education_MainSchool_sd","Education_MainSchool_min","Education_MainSchool_max","Education_Master_mean","Education_Master_sd","Education_Master_min","Education_Master_max","Education_SecondarySchool_mean","Education_SecondarySchool_sd","Education_SecondarySchool_min","Education_SecondarySchool_max","Education_Promotion_mean","Education_Promotion_sd","Education_Promotion_min","Education_Promotion_max","Education_NoneDegree_mean","Education_NoneDegree_sd","Education_NoneDegree_min","Education_NoneDegree_max","Occupation_Employed_mean","Occupation_Employed_sd","Occupation_Employed_min","Occupation_Employed_max","Occupation_Apprenticeship_mean","Occupation_Apprenticeship_sd","Occupation_Apprenticeship_min","Occupation_Apprenticeship_max","Occupation_Household_mean","Occupation_Household_sd","Occupation_Household_min","Occupation_Household_max","Occupation_School_mean","Occupation_School_sd","Occupation_School_min","Occupation_School_max","Occupation_Selfemployed_mean","Occupation_Selfemployed_sd","Occupation_Selfemployed_min","Occupation_Selfemployed_max","Occupation_Other_mean","Occupation_Other_sd","Occupation_Other_min","Occupation_Other_max","Occupation_University_mean","Occupation_University_sd","Occupation_University_min","Occupation_University_max","Occupation_None_mean","Occupation_None_sd","Occupation_None_min","Occupation_None_max","ActiveListening_mean","ActiveListening_sd","ActiveListening_min","ActiveListening_max","MainstreamMusic_mean","MainstreamMusic_sd","MainstreamMusic_min","MainstreamMusic_max","Age_mean","Age_sd","Age_min","Age_max","Children_mean","Children_sd","Children_min","Children_max","Income_mean","Income_sd","Income_min","Income_max"
2,22.2323232323232,21.0094309263275,0,160,0.446127946127946,1.93867885608791,0,30,21.7861952861953,20.876083720447,0,160,1.66161616161616,5.54469572402137,0,60,0.806397306397306,2.42830959818005,0,20,3.22727272727273,6.81139782077662,0,60,2.55218855218855,5.69679093045953,0,60,10.530303030303,14.9126718496566,0,150,3.00841750841751,7.09285058092551,0,60,31.8872053872054,89.0363194245055,0,1550,14.1498316498317,45.70865403766,0,550,17.7373737373737,70.3349853852625,0,1450,2.33670033670034,7.52630686300087,0,69,13.1279461279461,66.2534643988297,0,1400,2.27272727272727,12.1419247887118,0,250,0.361952861952862,0.480970307007431,0,1,4.3047138047138,1.7974343722862,1,7,0.326599326599327,0.469364556695726,0,1,0.0774410774410774,0.267515300149384,0,1,0.595959595959596,0.491118939634067,0,1,0.117845117845118,0.322696380594264,0,1,0.0841750841750842,0.277884218283574,0,1,0.195286195286195,0.396754968211711,0,1,0.240740740740741,0.427893530740258,0,1,0.0218855218855218,0.14643307189809,0,1,0.2003367003367,0.400589642678307,0,1,0.139730639730639,0.346999562383044,0,1,0.195286195286195,0.39675496821171,0,1,0.069023569023569,0.25370786160236,0,1,0.069023569023569,0.25370786160236,0,1,0.0976430976430976,0.297081646662401,0,1,0.00673400673400674,0.0818531566056778,0,1,0.208754208754209,0.406760902615101,0,1,0.345117845117845,0.475807367016653,0,1,0.00841750841750841,0.0914370235263219,0,1,0.638047138047138,0.480970307007431,0,1,0.00841750841750841,0.0914370235263218,0,1,0.0824915824915826,0.275344066403712,0,1,0.074074074074074,0.262112126479856,0,1,0.00505050505050505,0.0709469612221587,0,1,0.0622895622895623,0.241884416934258,0,1,0.101010101010101,0.301596074478151,0,1,0.0286195286195286,0.166875199570871,0,1,2.50673400673401,1.51578154751466,1,7,3.58417508417508,1.51456740065112,1,7,48.6414141414141,11.6755333760697,17,69,0.538720538720539,0.498918607334299,0,1,2121.21212121212,1262.6411244803,250,5250
3,22.4360269360269,38.701958611639,0,822,0.569023569023569,2.1146202835957,0,35,21.8670033670033,38.5216369691431,0,822,2.04545454545455,7.96554264892599,0,100,0.754208754208754,2.79185592230656,0,40,4.1986531986532,33.3593687820305,0,800,2.54713804713805,6.61609006754917,0,100,9.52020202020202,12.2893898201401,0,100,2.8013468013468,7.09280315040908,0,50,35.6262626262626,71.865025141736,0,615,21.0942760942761,58.8711217171943,0,600,14.5319865319865,36.0032294845223,0,550,2.20707070707071,6.31168117298344,0,70,9.6043771043771,30.5037533592879,0,550,2.72053872053872,16.6025663626842,0,340,0.336700336700336,0.472979741481059,0,1,4.23569023569024,1.84336162191407,1,7,0.336700336700337,0.472979741481059,0,1,0.058922558922559,0.23567816981283,0,1,0.604377104377104,0.489396192536451,0,1,0.138047138047138,0.345240182494731,0,1,0.0808080808080808,0.27276985376279,0,1,0.196969696969697,0.39804443016927,0,1,0.265993265993266,0.442233073183101,0,1,0.0252525252525252,0.15702338748701,0,1,0.168350168350168,0.374492311006975,0,1,0.124579124579125,0.33051940518312,0,1,0.191919191919192,0.394141781444988,0,1,0.0690235690235689,0.25370786160236,0,1,0.0673400673400673,0.250821239012892,0,1,0.102693602693603,0.303814119071517,0,1,0.00336700336700337,0.0579769389704894,0,1,0.212121212121212,0.409154780644188,0,1,0.345117845117845,0.475807367016653,0,1,0.00841750841750841,0.0914370235263217,0,1,0.632996632996633,0.482393669737148,0,1,0.00673400673400675,0.0818531566056778,0,1,0.0791245791245792,0.270160606723488,0,1,0.0791245791245791,0.270160606723487,0,1,0.00168350168350167,0.0410304969931109,0,1,0.0707070707070707,0.256550942744532,0,1,0.106060606060606,0.308174688799218,0,1,0.0235690235690236,0.151829948755214,0,1,2.56565656565657,1.51881921049355,1,7,3.58585858585859,1.51669807113685,1,7,49.1649831649832,11.6193006591392,18,70,0.54040404040404,0.498784869208092,0,1,2237.37373737374,1291.20471546993,250,5250
4,20.4191919191919,19.5942234842214,0,137,0.323232323232323,1.38404507350608,0,20,20.0959595959596,19.4606677440394,0,136,2.02693602693603,5.91045733779861,0,60,0.86026936026936,4.66326506581332,0,94,2.67171717171717,5.77267285167101,0,55,2.12457912457912,4.78910743157837,0,55,9.47811447811448,12.7813507355173,0,80,2.93434343434343,7.03190025794391,0,60,31.3484848484848,72.8727188980153,0,800,14.5353535353535,44.5693607954266,0,500,16.8131313131313,52.9532591244241,0,760,2.71885521885522,9.09311479251916,0,150,10.8367003367003,40.0625387995257,0,750,3.25757575757576,29.8383952802255,0,700,0.323232323232323,0.468104775495988,0,1,4.25589225589226,1.84157732501811,1,7,0.338383838383838,0.473558607367544,0,1,0.0723905723905724,0.259351914380361,0,1,0.589225589225589,0.492389027175366,0,1,0.11952861952862,0.324682924880649,0,1,0.0808080808080809,0.272769853762791,0,1,0.195286195286195,0.39675496821171,0,1,0.28956228956229,0.45394149097263,0,1,0.0202020202020202,0.140809367008719,0,1,0.193602693602694,0.395454122873893,0,1,0.101010101010101,0.301596074478151,0,1,0.188552188552189,0.391482146849785,0,1,0.0740740740740741,0.262112126479856,0,1,0.0757575757575756,0.264832853491049,0,1,0.0959595959595959,0.294784063736876,0,1,0.00505050505050505,0.0709469612221586,0,1,0.208754208754209,0.406760902615101,0,1,0.343434343434343,0.475255135064722,0,1,0.00841750841750841,0.0914370235263219,0,1,0.638047138047138,0.480970307007431,0,1,0.00505050505050507,0.0709469612221576,0,1,0.0673400673400673,0.250821239012892,0,1,0.0824915824915825,0.275344066403712,0,1,0.00168350168350169,0.0410304969931109,0,1,0.069023569023569,0.25370786160236,0,1,0.112794612794613,0.316608186217128,0,1,0.0235690235690236,0.151829948755215,0,1,2.55555555555556,1.56837778656612,1,7,3.65824915824916,1.54397298506966,1,7,49.5723905723906,11.6114285741909,18,70,0.538720538720539,0.498918607334299,0,1,2223.06397306397,1301.55505874423,250,5250
5,19.6026936026936,21.2373654807661,0,210,0.239057239057239,2.32953536756981,0,40,19.3636363636364,20.9393831053384,0,210,2.06565656565657,5.63511625738981,0,50,0.673400673400673,2.4750490926842,0,25,2.46969696969697,5.42182749621777,0,50,2.11952861952862,5.88629091092598,0,100,8.96464646464647,14.077972315367,0,150,3.07070707070707,8.750719585254,0,120,14.537037037037,38.5929963585952,0,400,3.24410774410775,21.4512901445406,0,250,11.2929292929293,31.2741516871167,0,400,2.31144781144781,6.53817201878228,0,90,6.35016835016834,21.4838723378558,0,255,2.63131313131313,20.5626692964018,0,400,0.328282828282828,0.469984120295855,0,1,4.18686868686869,1.90776242318976,1,7,0.343434343434343,0.475255135064722,0,1,0.0723905723905724,0.259351914380361,0,1,0.584175084175084,0.493279020322983,0,1,0.0707070707070708,0.256550942744532,0,1,0.0622895622895623,0.241884416934258,0,1,0.195286195286195,0.39675496821171,0,1,0.335016835016835,0.472394156585869,0,1,0.0286195286195287,0.166875199570871,0,1,0.181818181818182,0.386019677179426,0,1,0.126262626262626,0.332425049002867,0,1,0.193602693602694,0.395454122873893,0,1,0.0774410774410774,0.267515300149384,0,1,0.0707070707070707,0.256550942744532,0,1,0.102693602693603,0.303814119071517,0,1,0.00505050505050505,0.0709469612221585,0,1,0.205387205387205,0.404324767495204,0,1,0.336700336700337,0.472979741481059,0,1,0.00841750841750841,0.0914370235263217,0,1,0.631313131313131,0.482855432712306,0,1,0.00505050505050507,0.0709469612221585,0,1,0.0639730639730639,0.244911187981181,0,1,0.0875420875420876,0.282865997889296,0,1,0.00168350168350167,0.0410304969931109,0,1,0.0723905723905724,0.25935191438036,0,1,0.117845117845118,0.322696380594264,0,1,0.0202020202020202,0.140809367008719,0,1,2.53703703703704,1.55597373859131,1,7,3.65319865319865,1.56724423969103,1,7,50.0589225589226,11.6348996514606,19,70,0.537037037037037,0.499046620891522,0,1,2242.42424242424,1329.21251781745,250,5250
6,19.0606060606061,19.3517984916061,0,153,0.0218855218855219,0.298154775540975,0,5,19.0387205387205,19.3205894346037,0,152,2.23737373737374,6.20361781829476,0,50,0.587542087542088,2.24320138741462,0,30,2.66666666666667,6.73617502466352,0,80,1.96969696969697,4.53419731270938,0,50,8.13131313131313,12.4012291709607,0,150,3.44612794612795,9.58979714411215,0,100,13.5791245791246,37.457762185795,0,430,0.2996632996633,3.45695279864222,0,60,13.2794612794613,37.0978290439849,0,430,3.12794612794613,10.677889725756,0,150,8.03535353535354,31.692724163177,0,430,2.11616161616162,12.7676726608459,0,260,0.324915824915825,0.468738117630166,0,1,4.2037037037037,1.90337937325589,1,7,0.338383838383838,0.473558607367544,0,1,0.0791245791245792,0.270160606723487,0,1,0.582491582491583,0.493563824306715,0,1,0.0673400673400673,0.250821239012892,0,1,0.0824915824915825,0.275344066403713,0,1,0.183501683501684,0.387403508082637,0,1,0.335016835016835,0.472394156585869,0,1,0.0134680134680135,0.115364777374981,0,1,0.191919191919192,0.394141781444988,0,1,0.126262626262626,0.332425049002867,0,1,0.2003367003367,0.400589642678307,0,1,0.0707070707070708,0.256550942744532,0,1,0.0538720538720539,0.225955323510548,0,1,0.0976430976430976,0.297081646662401,0,1,0.00336700336700337,0.0579769389704894,0,1,0.222222222222222,0.416090101368002,0,1,0.343434343434344,0.475255135064722,0,1,0.00841750841750843,0.0914370235263221,0,1,0.621212121212121,0.485494006633216,0,1,0.00168350168350167,0.0410304969931109,0,1,0.0656565656565656,0.247889553887341,0,1,0.101010101010101,0.301596074478151,0,1,0.00168350168350168,0.0410304969931109,0,1,0.0707070707070707,0.256550942744532,0,1,0.122895622895623,0.328594070679976,0,1,0.0151515151515152,0.122258374867967,0,1,2.62962962962963,1.57580703835282,1,7,3.68181818181818,1.52597721785612,1,7,50.4848484848485,11.6119351605415,19,70,0.547138047138047,0.498192575848855,0,1,2287.87878787879,1287.43946780392,250,5250
